nb_processes;mb_per_process;read_time;write_time;overall_time;max_bandwidth
8;1;0.00340;0.00746;0.01086;736.4
1;2;0.00052;0.00135;0.00188;1065.1
2;2;0.00099;0.00271;0.00370;1081.4
3;2;0.00121;0.00471;0.00592;1013.5
4;2;0.00151;0.00561;0.00712;1123.4
5;2;0.00206;0.00628;0.00834;1199.4
6;2;0.00222;0.00618;0.00840;1428.4
7;2;0.00531;0.00975;0.01506;929.7
8;2;0.00433;0.01449;0.01882;850.4
1;3;0.00098;0.00224;0.00321;933.9
2;3;0.00160;0.00392;0.00552;1086.8
3;3;0.00788;0.00771;0.01559;577.2
4;3;0.00215;0.00785;0.01000;1199.6
5;3;0.00312;0.00676;0.00988;1517.7
6;3;0.00322;0.01324;0.01645;1094.0
7;3;0.00340;0.01170;0.01510;1391.1
8;3;0.00545;0.02067;0.02612;918.8
1;4;0.00112;0.00259;0.00371;1078.9
2;4;0.00161;0.00539;0.00700;1142.5
3;4;0.03908;0.00899;0.04807;249.6
4;4;0.00298;0.00833;0.01131;1414.7
5;4;0.07237;0.07309;0.14546;137.5
6;4;0.00418;0.01675;0.02094;1146.4
7;4;0.18057;0.02240;0.20297;138.0
8;4;0.00788;0.02161;0.02949;1085.3
1;5;0.00162;0.00570;0.00732;683.4
2;5;0.04478;0.00707;0.05186;192.8
3;5;0.09677;0.29262;0.38939;38.5
4;5;0.07567;0.26811;0.34378;58.2
5;5;0.00414;0.01824;0.02238;1117.0
6;5;0.00483;0.01642;0.02125;1411.8
7;5;0.00500;0.01587;0.02088;1676.3
8;5;0.00546;0.03223;0.03769;1061.2
1;6;0.00167;0.00362;0.00529;1135.0
2;6;0.00256;0.00884;0.01140;1053.1
3;6;0.00357;0.01170;0.01527;1178.4
4;6;0.00483;0.01234;0.01717;1398.0
5;6;0.00451;0.01712;0.02163;1386.9
6;6;0.00512;0.02137;0.02649;1359.0
7;6;0.00594;0.02049;0.02643;1589.3
8;6;0.03257;0.03393;0.06651;721.7
1;7;0.00192;0.00420;0.00612;1143.2
2;7;0.16108;0.00984;0.17092;81.9
3;7;0.00464;0.01259;0.01724;1218.2
4;7;0.06983;0.16850;0.23833;117.5
5;7;0.00540;0.01567;0.02106;1661.7
6;7;0.00667;0.02906;0.03574;1175.3
