nb_processes;mb_per_process;read_time;write_time;overall_time;max_bandwidth
8;10;0.15102;1.44835;1.59936;50.0
1;11;0.16877;0.00956;0.17833;61.7
2;11;0.13294;0.20780;0.34073;64.6
3;11;0.12436;0.47697;0.60133;54.9
4;11;0.15314;0.61794;0.77108;57.1
5;11;0.17527;1.15488;1.33016;41.3
6;11;0.19098;1.16469;1.35567;48.7
7;11;0.11044;1.39171;1.50215;51.3
8;11;0.12411;1.48746;1.61157;54.6
1;12;0.08175;0.00929;0.09104;131.8
2;12;0.08374;0.14904;0.23278;103.1
3;12;0.06981;0.30261;0.37242;96.7
4;12;0.07268;0.61474;0.68743;69.8
5;12;0.09018;0.68152;0.77170;77.8
6;12;0.09534;0.81224;0.90758;79.3
7;12;0.10433;1.08607;1.19040;70.6
8;12;0.18506;1.39644;1.58149;60.7
1;13;0.07939;0.00985;0.08925;145.7
2;13;0.32981;0.32225;0.65206;39.9
3;13;0.11572;0.60932;0.72504;53.8
4;13;0.11644;0.69542;0.81186;64.1
5;13;0.09061;1.05728;1.14788;56.6
6;13;0.07020;1.26016;1.33036;58.6
7;13;0.13111;1.40403;1.53513;59.3
8;13;0.07567;1.49489;1.57056;66.2
1;14;0.06078;0.01050;0.07128;196.4
2;14;0.08450;0.20028;0.28478;98.3
3;14;0.07248;0.36840;0.44089;95.3
4;14;0.12604;0.94159;1.06762;52.5
5;14;0.10765;1.29992;1.40757;49.7
6;14;0.10439;1.41831;1.52270;55.2
7;14;0.13736;1.54082;1.67817;58.4
8;14;0.07348;1.39848;1.47196;76.1
1;15;0.07551;0.04144;0.11695;128.3
2;15;0.08805;0.20900;0.29705;101.0
3;15;0.13866;0.55814;0.69680;64.6
4;15;0.07155;0.68845;0.76001;78.9
5;15;0.11128;1.38837;1.49966;50.0
6;15;0.10163;1.37024;1.47187;61.1
7;15;0.08413;1.71908;1.80321;58.2
8;15;0.07278;1.74241;1.81519;66.1
1;16;0.08282;0.01581;0.09863;162.2
2;16;0.07931;0.24814;0.32746;97.7
3;16;0.09756;0.47044;0.56800;84.5
4;16;0.07672;0.81947;0.89619;71.4
5;16;0.15756;1.55826;1.71582;46.6
6;16;0.60379;2.54088;3.14466;30.5
7;16;0.10040;2.06043;2.16083;51.8
8;16;0.12113;2.05188;2.17301;58.9
1;1;0.00020;0.00076;0.00097;1033.3
2;1;0.00060;0.00158;0.00218;918.7
3;1;0.00078;0.00217;0.00295;1015.8
4;1;0.00102;0.00283;0.00385;1038.5
5;1;0.00112;0.00335;0.00447;1117.7
6;1;0.00142;0.00463;0.00604;993.0
7;1;0.00218;0.00570;0.00788;888.6
8;1;0.00213;0.00598;0.00811;986.3
1;2;0.00048;0.00147;0.00195;1025.7
2;2;0.00096;0.00265;0.00361;1108.6
3;2;0.00131;0.00289;0.00420;1427.0
4;2;0.00157;0.00531;0.00688;1163.2
5;2;0.00177;0.00701;0.00879;1138.3
6;2;0.00358;0.00674;0.01032;1162.6
7;2;0.00345;0.01124;0.01469;952.7
8;2;0.00332;0.01487;0.01820;879.3
1;3;0.00086;0.00204;0.00290;1034.6
2;3;0.00154;0.00408;0.00562;1067.7
3;3;0.00179;0.00480;0.00659;1366.6
4;3;0.00228;0.00790;0.01018;1178.8
5;3;0.12338;0.00907;0.13246;113.2
6;3;0.10614;0.07355;0.17969;100.2
7;3;0.00383;0.00984;0.01367;1536.3
8;3;0.00530;0.01799;0.02329;1030.5
1;4;0.00112;0.00255;0.00367;1089.1
2;4;0.00178;0.00516;0.00694;1153.5
3;4;0.04155;0.00724;0.04880;245.9
4;4;0.02327;0.01195;0.03522;454.3
5;4;0.09806;0.01457;0.11263;177.6
6;4;0.00394;0.01837;0.02231;1075.8
7;4;0.05381;0.01792;0.07173;390.3
8;4;0.00515;0.02452;0.02966;1078.8
1;5;0.00143;0.00345;0.00488;1024.6
2;5;0.00828;0.00682;0.01509;662.6
3;5;0.00280;0.00936;0.01216;1233.9
4;5;0.00378;0.01350;0.01728;1157.3
5;5;0.00430;0.01282;0.01713;1459.6
6;5;0.00473;0.01444;0.01917;1565.1
7;5;0.03384;0.02581;0.05966;586.7
8;5;0.00556;0.02925;0.03481;1149.0
1;6;0.00165;0.00404;0.00569;1053.8
2;6;0.03317;0.00880;0.04197;285.9
3;6;0.07117;0.04998;0.12115;148.6
4;6;0.10810;0.11864;0.22675;105.8
5;6;0.00494;0.02149;0.02643;1135.0
6;6;0.00563;0.02089;0.02652;1357.3
7;6;0.00630;0.02286;0.02915;1440.6
8;6;0.00893;0.02623;0.03516;1365.3
1;7;0.00200;0.00481;0.00681;1027.6
2;7;0.06907;0.01089;0.07996;175.1
3;7;0.08511;0.08807;0.17318;121.3
4;7;0.00440;0.01899;0.02340;1196.8
5;7;0.00662;0.02073;0.02736;1279.4
6;7;0.05626;0.02824;0.08449;497.1
7;7;0.00792;0.02478;0.03270;1498.7
8;7;0.00773;0.04043;0.04815;1162.9
1;8;0.00290;0.00752;0.01042;767.9
2;8;0.12204;0.02072;0.14276;112.1
3;8;0.09751;0.22361;0.32112;74.7
4;8;0.16219;0.39623;0.55842;57.3
5;8;0.11524;0.71035;0.82559;48.5
6;8;0.13987;0.75973;0.89961;53.4
7;8;0.11997;0.97888;1.09886;51.0
8;8;0.11696;1.28643;1.40340;45.6
1;9;0.00665;0.00646;0.01310;686.8
2;9;0.07347;0.04136;0.11483;156.8
3;9;0.12355;0.20873;0.33229;81.3
4;9;0.08580;0.29539;0.38119;94.4
5;9;0.11321;0.50531;0.61852;72.8
6;9;0.10347;0.64052;0.74399;72.6
7;9;0.08551;0.86502;0.95053;66.3
8;9;0.11060;0.82108;0.93169;77.3
1;10;0.00988;0.00743;0.01732;577.4
2;10;0.08360;0.07075;0.15435;129.6
3;10;0.10721;0.29566;0.40287;74.5
4;10;0.21638;0.72691;0.94329;42.4
5;10;0.23828;0.86581;1.10409;45.3
6;10;0.12492;1.26376;1.38868;43.2
7;10;0.13878;1.29558;1.43437;48.8
8;10;0.09159;1.38160;1.47319;54.3
1;11;0.05242;0.00859;0.06101;180.3
2;11;0.07446;0.14079;0.21525;102.2
3;11;0.07333;0.24116;0.31449;104.9
4;11;0.07154;0.47657;0.54811;80.3
5;11;0.11014;0.56989;0.68004;80.9
6;11;0.09015;0.91028;1.00043;66.0
7;11;0.11938;1.09781;1.21719;63.3
8;11;0.07177;1.23182;1.30358;67.5
1;12;0.05200;0.00880;0.06080;197.4
2;12;0.11674;0.14130;0.25804;93.0
3;12;0.10037;0.30671;0.40708;88.4
4;12;0.01016;0.73930;0.74946;64.0
5;12;0.09693;0.96960;1.06653;56.3
6;12;0.07274;1.18015;1.25289;57.5
7;12;0.16976;1.56540;1.73515;48.4
8;12;0.15228;1.58974;1.74202;55.1
1;13;0.05669;0.00957;0.06626;196.2
2;13;0.09378;0.15142;0.24521;106.0
3;13;0.07152;0.40565;0.47717;81.7
4;13;0.10464;0.47178;0.57642;90.2
5;13;0.12474;0.82770;0.95243;68.2
6;13;0.15263;1.25121;1.40384;55.6
7;13;0.11276;1.78282;1.89558;48.0
8;13;0.09558;1.28221;1.37779;75.5
1;14;0.07346;0.01088;0.08434;166.0
2;14;0.07784;0.21143;0.28927;96.8
3;14;0.11052;0.48953;0.60005;70.0
4;14;0.08225;0.62665;0.70890;79.0
5;14;0.14868;1.02279;1.17147;59.8
6;14;0.09262;1.16597;1.25859;66.7
7;14;0.11356;1.39548;1.50904;64.9
8;14;0.12833;2.15793;2.28626;49.0
1;15;0.09242;0.08413;0.17655;85.0
2;15;0.15599;0.29422;0.45022;66.6
3;15;0.07267;0.69287;0.76553;58.8
4;15;0.08024;0.60752;0.68777;87.2
5;15;0.13601;1.39409;1.53009;49.0
6;15;0.11930;1.05663;1.17594;76.5
7;15;0.12497;1.83327;1.95824;53.6
8;15;0.15527;2.00580;2.16106;55.5
1;16;0.10275;0.20961;0.31236;51.2
2;16;0.08678;0.22691;0.31370;102.0
3;16;0.08698;0.40818;0.49516;96.9
4;16;0.15623;0.91509;1.07132;59.7
5;16;0.18015;1.20085;1.38100;57.9
6;16;0.09776;2.03946;2.13723;44.9
7;16;0.13085;1.67341;1.80426;62.1
8;16;0.13738;1.75576;1.89313;67.6
